,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,stock_market_closed,stock_market_closed_lower,stock_market_closed_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2576,2012-10-19,151.7768473364243,110.05878738496259,207.75552722142632,151.7768473364243,151.7768473364243,6.071075235002367,6.071075235002367,6.071075235002367,0.0,0.0,0.0,0.0,0.0,0.0,3.7141763315175083,3.7141763315175083,3.7141763315175083,2.356898903484861,2.356898903484861,2.356898903484861,0.0,0.0,0.0,157.84792257142666
2577,2012-10-22,151.9594632430549,111.2997101006851,208.52476693010874,151.9594632430549,151.9594632430549,9.154657633671942,9.154657633671942,9.154657633671942,0.0,0.0,0.0,0.0,0.0,0.0,3.96798792902878,3.96798792902878,3.96798792902878,5.186669704643158,5.186669704643158,5.186669704643158,0.0,0.0,0.0,161.11412087672684
2578,2012-10-23,152.02033521193178,110.7845105204537,206.8777869107642,152.02033521193178,152.02033521193178,10.365133011672468,10.365133011672468,10.365133011672468,0.0,0.0,0.0,0.0,0.0,0.0,4.25200143731469,4.25200143731469,4.25200143731469,6.113131574357778,6.113131574357778,6.113131574357778,0.0,0.0,0.0,162.38546822360425
2579,2012-10-25,152.14207914968554,115.79833846788067,211.12941608453337,152.14207914968554,152.14207914968554,12.228435267777163,12.228435267777163,12.228435267777163,0.0,0.0,0.0,0.0,0.0,0.0,4.350989156607092,4.350989156607092,4.350989156607092,7.877446111170071,7.877446111170071,7.877446111170071,0.0,0.0,0.0,164.37051441746272
2580,2012-10-29,152.38556702519307,117.72414330149161,212.90976088896812,152.38556702519307,152.38556702519307,14.78300885740909,14.78300885740909,14.78300885740909,0.0,0.0,0.0,0.0,0.0,0.0,3.967987928938383,3.967987928938383,3.967987928938383,10.815020928470707,10.815020928470707,10.815020928470707,0.0,0.0,0.0,167.16857588260217
2581,2012-10-30,152.44643899406995,116.77024649832944,214.09001824771372,152.44643899406995,152.44643899406995,15.642659680036875,15.642659680036875,15.642659680036875,0.0,0.0,0.0,0.0,0.0,0.0,4.252001436997571,4.252001436997571,4.252001436997571,11.390658243039303,11.390658243039303,11.390658243039303,0.0,0.0,0.0,168.08909867410682
2582,2012-10-31,152.50731096294683,117.26941691079453,216.51483251121243,152.50731096294683,152.50731096294683,15.592246608306597,15.592246608306597,15.592246608306597,0.0,0.0,0.0,0.0,0.0,0.0,3.6963373919915505,3.6963373919915505,3.6963373919915505,11.895909216315047,11.895909216315047,11.895909216315047,0.0,0.0,0.0,168.09955757125343
2583,2012-11-01,152.5681829318237,123.19781016480634,216.04040122116456,152.5681829318237,152.5681829318237,16.68076133174467,16.68076133174467,16.68076133174467,0.0,0.0,0.0,0.0,0.0,0.0,4.350989156306917,4.350989156306917,4.350989156306917,12.329772175437755,12.329772175437755,12.329772175437755,0.0,0.0,0.0,169.24894426356838
2584,2012-11-02,152.6290549007006,117.83376850737002,214.41832982354074,152.6290549007006,152.6290549007006,16.406783267436087,16.406783267436087,16.406783267436087,0.0,0.0,0.0,0.0,0.0,0.0,3.7141763313518794,3.7141763313518794,3.7141763313518794,12.69260693608421,12.69260693608421,12.69260693608421,0.0,0.0,0.0,169.03583816813668
2585,2012-11-05,152.8116708073312,121.27907138459616,220.48596659525035,152.8116708073312,152.8116708073312,17.345328232421753,17.345328232421753,17.345328232421753,0.0,0.0,0.0,0.0,0.0,0.0,3.967987928779194,3.967987928779194,3.967987928779194,13.377340303642557,13.377340303642557,13.377340303642557,0.0,0.0,0.0,170.15699903975298
2586,2012-11-06,152.8725427762081,119.84880211609774,220.6920726914086,152.8725427762081,152.8725427762081,17.735939721743176,17.735939721743176,17.735939721743176,0.0,0.0,0.0,0.0,0.0,0.0,4.252001437167638,4.252001437167638,4.252001437167638,13.483938284575537,13.483938284575537,13.483938284575537,0.0,0.0,0.0,170.60848249795126
2587,2012-11-07,152.93341474508495,122.11719046700387,222.68896984273536,152.93341474508495,152.93341474508495,17.234764032488467,17.234764032488467,17.234764032488467,0.0,0.0,0.0,0.0,0.0,0.0,3.696337392079916,3.696337392079916,3.696337392079916,13.538426640408549,13.538426640408549,13.538426640408549,0.0,0.0,0.0,170.16817877757342
2588,2012-11-08,152.99428671396186,121.22552693548108,221.37601830060933,152.99428671396186,152.99428671396186,17.898022874978547,17.898022874978547,17.898022874978547,0.0,0.0,0.0,0.0,0.0,0.0,4.350989156509944,4.350989156509944,4.350989156509944,13.547033718468604,13.547033718468604,13.547033718468604,0.0,0.0,0.0,170.8923095889404
2589,2012-11-09,153.05515868283874,122.28525536154541,223.42211878475663,153.05515868283874,153.05515868283874,17.230581161717144,17.230581161717144,17.230581161717144,0.0,0.0,0.0,0.0,0.0,0.0,3.714176331300963,3.714176331300963,3.714176331300963,13.516404830416182,13.516404830416182,13.516404830416182,0.0,0.0,0.0,170.28573984455588
2590,2012-11-12,153.23777458946932,121.88099077239836,223.84616588549284,153.23777458946932,153.23777458946932,17.225944396513476,17.225944396513476,17.225944396513476,0.0,0.0,0.0,0.0,0.0,0.0,3.967987928967532,3.967987928967532,3.967987928967532,13.257956467545943,13.257956467545943,13.257956467545943,0.0,0.0,0.0,170.4637189859828
2591,2012-11-15,153.42039049609997,124.77322346316252,218.70094539171356,153.42039049609997,153.42039049609997,17.2388308560693,17.2388308560693,17.2388308560693,0.0,0.0,0.0,0.0,0.0,0.0,4.350989156444014,4.350989156444014,4.350989156444014,12.88784169962528,12.88784169962528,12.88784169962528,0.0,0.0,0.0,170.65922135216925
